time,turbine_num,wind_speed,kw,wind_speed_sd,wind_speed_max,torque_actual_value,blade_1_actual_angle,blade_2_actual_angle,blade_3_actual_angle,blade_1_2_act_angle_diff,blade_2_3_act_angle_diff,blade_3_1_act_angle_diff,ot,sot,dt,lot,wot,est,mt,rt,eect
2015-12-24 09:20:00,21,0.23749187784275508,0.23309905709613446,0.1118421052631579,0.1628166915052161,0.3259984490112447,0.44726147874082606,0.45040561389538647,0.010696886252912518,0.0016630529359053833,0.006914747443374893,0.005362675820712282,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 09:30:00,21,0.23034437946718653,0.21100866358164297,0.16557017543859648,0.19094634873323396,0.2964327258627375,0.44720082489233937,0.4503558453192655,0.010590976488032196,0.0016630529359053837,0.006914747443374894,0.005362675820712283,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 09:40:00,21,0.20175438596491233,0.13431335026617028,0.06030701754385964,0.12891207153502235,0.2179139201240791,0.44738278643779944,0.45050515104762856,0.010908705782673162,0.001663052935905384,0.006914747443374894,0.005362675820712284,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 09:50:00,21,0.20760233918128657,0.1399429386590585,0.09320175438596491,0.14698211624441132,0.22062815044590928,0.44726147874082606,0.45040561389538647,0.010696886252912518,0.0016630529359053833,0.006914747443374893,0.005362675820712282,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 10:00:00,21,0.2394411955815465,0.2619393897219999,0.12061403508771928,0.17827868852459017,0.3526560682435052,0.44720082489233937,0.4503558453192655,0.010590976488032196,0.0016630529359053837,0.006914747443374894,0.005362675820712283,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 10:10:00,21,0.22904483430799225,0.24734699558122542,0.1600877192982456,0.2084575260804769,0.3326870880186119,0.4476254018317462,0.45075399392823373,0.01143825460707477,0.0017505819511407365,0.006914747443374895,0.005273298686844692,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 10:20:00,21,0.2842755035737492,0.44090323927490344,0.15460526315789475,0.20193740685543962,0.49786739046141915,0.4492630557408867,0.4521972826357438,0.012391442490997669,0.001925639940950538,0.008665277262149674,0.0068820802926715255,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 10:30:00,21,0.21702404158544514,0.2094116419052921,0.17763157894736842,0.20063338301043218,0.29051958123303606,0.4479893249226663,0.4512019111133231,0.01027324719339123,0.0020131689141918447,0.008665277262149673,0.006792703945636394,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 10:40:00,21,0.20532813515269657,0.1612504784106329,0.15789473684210525,0.14940387481371087,0.23720434276851493,0.4494450172863468,0.45234658836410696,0.012709171785638636,0.001925639940950537,0.008665277262149673,0.0068820802926715255,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-24 10:50:00,21,0.2826510721247564,0.39136773250756757,0.16447368421052633,0.21236959761549926,0.4591896083753393,0.4489597864984533,0.4519982083312597,0.011967803431476381,0.0020131689141918447,0.008665277262149674,0.006792703945636393,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
